#   H  PAMELA(2009/12-2010/01) - Ref: Adriani et al., ApJ 765, 91 (2013)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.843000e+00 2.530000e-01 2.670000e-01 2.650375e+03 4.690930e+01 4.690930e+01 3.518197e+02 3.518197e+02 3.549332e+02 3.549332e+02
5.387400e+00 2.774000e-01 2.926000e-01 2.641191e+03 2.902408e+01 2.902408e+01 3.482890e+02 3.482890e+02 3.494962e+02 3.494962e+02
5.981900e+00 3.019000e-01 3.181000e-01 2.469036e+03 3.578313e+01 3.578313e+01 3.220482e+02 3.220482e+02 3.240301e+02 3.240301e+02
6.636000e+00 3.360000e-01 3.540000e-01 2.496429e+03 4.197999e+01 4.197999e+01 3.387728e+02 3.387728e+02 3.413639e+02 3.413639e+02
7.355400e+00 3.654000e-01 3.846000e-01 2.429717e+03 4.310299e+01 4.310299e+01 3.293724e+02 3.293724e+02 3.321807e+02 3.321807e+02
8.144400e+00 4.044000e-01 4.256000e-01 2.301694e+03 4.359289e+01 4.359289e+01 3.117568e+02 3.117568e+02 3.147898e+02 3.147898e+02
9.013500e+00 4.435000e-01 4.665000e-01 2.229313e+03 4.446439e+01 4.446439e+01 3.016560e+02 3.016560e+02 3.049154e+02 3.049154e+02
9.967400e+00 4.874000e-01 5.126000e-01 2.162829e+03 4.534291e+01 4.534291e+01 2.925830e+02 2.925830e+02 2.960757e+02 2.960757e+02
1.101100e+01 5.310000e-01 5.590000e-01 2.044142e+03 4.552641e+01 4.552641e+01 2.765532e+02 2.765532e+02 2.802754e+02 2.802754e+02
1.215500e+01 5.850000e-01 6.150000e-01 1.925105e+03 4.554948e+01 4.554948e+01 2.604727e+02 2.604727e+02 2.644254e+02 2.644254e+02
1.341300e+01 6.430000e-01 6.770000e-01 1.838666e+03 4.594865e+01 4.594865e+01 2.489935e+02 2.489935e+02 2.531976e+02 2.531976e+02
1.479700e+01 7.070000e-01 7.430000e-01 1.825834e+03 4.707451e+01 4.707451e+01 2.471959e+02 2.471959e+02 2.516383e+02 2.516383e+02
