#   H  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.178000e+01 2.076000e+01 2.285000e+01 3.050000e+00 1.004040e-01 1.004040e-01 0.000000e+00 0.000000e+00 1.004040e-01 1.004040e-01
2.397000e+01 2.285000e+01 2.515000e+01 2.367000e+00 9.027180e-02 9.027180e-02 0.000000e+00 0.000000e+00 9.027180e-02 9.027180e-02
2.637000e+01 2.515000e+01 2.766000e+01 1.828000e+00 7.025670e-02 7.025670e-02 0.000000e+00 0.000000e+00 7.025670e-02 7.025670e-02
2.900000e+01 2.766000e+01 3.042000e+01 1.420000e+00 5.024940e-02 5.024940e-02 0.000000e+00 0.000000e+00 5.024940e-02 5.024940e-02
3.188000e+01 3.042000e+01 3.344000e+01 1.107000e+00 4.019950e-02 4.019950e-02 0.000000e+00 0.000000e+00 4.019950e-02 4.019950e-02
3.505000e+01 3.344000e+01 3.675000e+01 8.490000e-01 3.026550e-02 3.026550e-02 0.000000e+00 0.000000e+00 3.026550e-02 3.026550e-02
3.852000e+01 3.675000e+01 4.039000e+01 6.530000e-01 3.014960e-02 3.014960e-02 0.000000e+00 0.000000e+00 3.014960e-02 3.014960e-02
4.232000e+01 4.039000e+01 4.437000e+01 5.090000e-01 2.022370e-02 2.022370e-02 0.000000e+00 0.000000e+00 2.022370e-02 2.022370e-02
4.649000e+01 4.437000e+01 4.874000e+01 3.970000e-01 2.009970e-02 2.009970e-02 0.000000e+00 0.000000e+00 2.009970e-02 2.009970e-02
5.107000e+01 4.874000e+01 5.353000e+01 3.010000e-01 1.019800e-02 1.019800e-02 0.000000e+00 0.000000e+00 1.019800e-02 1.019800e-02
5.608000e+01 5.353000e+01 5.879000e+01 2.330000e-01 9.219540e-03 9.219540e-03 0.000000e+00 0.000000e+00 9.219540e-03 9.219540e-03
6.158000e+01 5.879000e+01 6.455000e+01 1.780000e-01 7.071070e-03 7.071070e-03 0.000000e+00 0.000000e+00 7.071070e-03 7.071070e-03
6.761000e+01 6.455000e+01 7.086000e+01 1.410000e-01 5.099020e-03 5.099020e-03 0.000000e+00 0.000000e+00 5.099020e-03 5.099020e-03
7.422000e+01 7.086000e+01 7.779000e+01 1.103000e-01 4.100000e-03 4.100000e-03 0.000000e+00 0.000000e+00 4.100000e-03 4.100000e-03
8.147000e+01 7.779000e+01 8.538000e+01 8.310000e-02 3.104840e-03 3.104840e-03 0.000000e+00 0.000000e+00 3.104840e-03 3.104840e-03
8.942000e+01 8.538000e+01 9.371000e+01 6.330000e-02 3.059410e-03 3.059410e-03 0.000000e+00 0.000000e+00 3.059410e-03 3.059410e-03
1.004100e+02 9.371000e+01 1.077300e+02 4.590000e-02 2.039610e-03 2.039610e-03 0.000000e+00 0.000000e+00 2.039610e-03 2.039610e-03
1.154200e+02 1.077300e+02 1.238300e+02 3.120000e-02 1.044030e-03 1.044030e-03 0.000000e+00 0.000000e+00 1.044030e-03 1.044030e-03
1.326600e+02 1.238300e+02 1.423100e+02 2.090000e-02 8.544000e-04 8.544000e-04 0.000000e+00 0.000000e+00 8.544000e-04 8.544000e-04
1.524600e+02 1.423100e+02 1.635400e+02 1.420000e-02 6.324560e-04 6.324560e-04 0.000000e+00 0.000000e+00 6.324560e-04 6.324560e-04
1.751800e+02 1.635400e+02 1.879000e+02 9.500000e-03 4.472140e-04 4.472140e-04 0.000000e+00 0.000000e+00 4.472140e-04 4.472140e-04
2.012700e+02 1.879000e+02 2.158800e+02 6.400000e-03 3.162280e-04 3.162280e-04 0.000000e+00 0.000000e+00 3.162280e-04 3.162280e-04
2.312300e+02 2.158800e+02 2.480000e+02 4.170000e-03 2.154070e-04 2.154070e-04 0.000000e+00 0.000000e+00 2.154070e-04 2.154070e-04
2.656200e+02 2.480000e+02 2.848800e+02 2.970000e-03 1.220660e-04 1.220660e-04 0.000000e+00 0.000000e+00 1.220660e-04 1.220660e-04
3.051200e+02 2.848800e+02 3.272300e+02 2.020000e-03 1.029560e-04 1.029560e-04 0.000000e+00 0.000000e+00 1.029560e-04 1.029560e-04
3.584500e+02 3.272300e+02 3.936000e+02 1.320000e-03 6.708200e-05 6.708200e-05 0.000000e+00 0.000000e+00 6.708200e-05 6.708200e-05
4.508200e+02 3.936000e+02 5.191700e+02 6.800000e-04 4.472140e-05 4.472140e-05 0.000000e+00 0.000000e+00 4.472140e-05 4.472140e-05
5.815200e+02 5.191700e+02 6.538400e+02 3.800000e-04 3.605550e-05 3.605550e-05 0.000000e+00 0.000000e+00 3.605550e-05 3.605550e-05
7.487800e+02 6.538400e+02 8.622200e+02 1.900000e-04 2.236070e-05 2.236070e-05 0.000000e+00 0.000000e+00 2.236070e-05 2.236070e-05
1.009400e+03 8.622200e+02 1.190550e+03 8.100000e-05 1.220660e-05 1.220660e-05 0.000000e+00 0.000000e+00 1.220660e-05 1.220660e-05
